2018-08-01 06:57:02 | INFO | 1974 | 5b6159b5b2c82 | 1533106622.304 | tradesMarket 调用成功 ["ETH-USDT",2]
2018-08-01 06:57:04 | INFO | 1974 | 5b6159b5b2c82 | 1533106624.509 | depth 调用成功 "ETH-USDT"
2018-08-01 06:57:06 | INFO | 1974 | 5b6159b5b2c82 | 1533106626.351 | accounts 调用成功 null
2018-08-01 06:57:07 | INFO | 1974 | 5b6159b5b2c82 | 1533106627.604 | tradesMarket 调用成功 ["ETH-USDT",2]
2018-08-01 06:57:09 | INFO | 1974 | 5b6159b5b2c82 | 1533106629.151 | depth 调用成功 "ETH-USDT"
2018-08-01 06:57:09 | NOTICE | 1974 | 5b6159b5b2c82 | 1533106629.161 | main loop{"price":421.30675,"p":0.8930796595551873,"btc":"4.7898377974281000","usdt":"241.5760330280000000","vol":0.30011999999999994}
2018-08-01 06:57:09 | INFO | 1974 | 5b6159b5b2c82 | 1533106629.164 | 开始根据真实数据进行模拟交易,假定挂单立即成交["421.9000000000000000",0.04,"ASK"]
2018-08-01 06:57:09 | INFO | 1974 | 5b6159b5b2c82 | 1533106629.166 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.899,0.04,"ASK"]
2018-08-01 06:57:09 | INFO | 1974 | 5b6159b5b2c82 | 1533106629.168 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.89799999999997,0.04,"ASK"]
2018-08-01 06:57:10 | INFO | 1974 | 5b6159b5b2c82 | 1533106630.657 | accounts 调用成功 null
2018-08-01 06:57:12 | INFO | 1974 | 5b6159b5b2c82 | 1533106632.412 | ordersCancel 调用成功 109006100
2018-08-01 06:57:12 | INFO | 1974 | 5b6159b5b2c82 | 1533106632.414 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:57:13 | INFO | 1974 | 5b6159b5b2c82 | 1533106633.757 | ordersCancel 调用成功 109006100
2018-08-01 06:57:13 | INFO | 1974 | 5b6159b5b2c82 | 1533106633.758 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:57:15 | INFO | 1974 | 5b6159b5b2c82 | 1533106635.681 | ordersCancel 调用成功 109006100
2018-08-01 06:57:15 | INFO | 1974 | 5b6159b5b2c82 | 1533106635.682 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:57:16 | INFO | 1974 | 5b6159b5b2c82 | 1533106636.881 | tradesMarket 调用成功 ["ETH-USDT",2]
2018-08-01 06:57:18 | INFO | 1974 | 5b6159b5b2c82 | 1533106638.266 | depth 调用成功 "ETH-USDT"
2018-08-01 06:57:18 | NOTICE | 1974 | 5b6159b5b2c82 | 1533106638.276 | main loop{"price":421.30974999999995,"p":0.8930874676510562,"btc":"4.7898377974281000","usdt":"241.5760330280000000","vol":0.30011999999999994}
2018-08-01 06:57:18 | INFO | 1974 | 5b6159b5b2c82 | 1533106638.278 | 开始根据真实数据进行模拟交易,假定挂单立即成交["421.9000000000000000",0.04,"ASK"]
2018-08-01 06:57:18 | INFO | 1974 | 5b6159b5b2c82 | 1533106638.279 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.899,0.04,"ASK"]
2018-08-01 06:57:18 | INFO | 1974 | 5b6159b5b2c82 | 1533106638.281 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.89799999999997,0.04,"ASK"]
2018-08-01 06:57:20 | INFO | 1974 | 5b6159b5b2c82 | 1533106640.645 | accounts 调用成功 null
2018-08-01 06:57:22 | INFO | 1974 | 5b6159b5b2c82 | 1533106642.542 | ordersCancel 调用成功 109006100
2018-08-01 06:57:22 | INFO | 1974 | 5b6159b5b2c82 | 1533106642.543 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:57:23 | INFO | 1974 | 5b6159b5b2c82 | 1533106643.747 | ordersCancel 调用成功 109006100
2018-08-01 06:57:23 | INFO | 1974 | 5b6159b5b2c82 | 1533106643.749 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:57:25 | INFO | 1974 | 5b6159b5b2c82 | 1533106645.72 | ordersCancel 调用成功 109006100
2018-08-01 06:57:25 | INFO | 1974 | 5b6159b5b2c82 | 1533106645.73 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
