2018-08-01 09:09:19 | INFO | 3374 | 5b6178ae97c47 | 1533114559.476 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.3290000000000000",0.04,"ASK"]
2018-08-01 09:09:19 | INFO | 3374 | 5b6178ae97c47 | 1533114559.480 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.32800000000003,0.04,"ASK"]
2018-08-01 09:09:19 | INFO | 3374 | 5b6178ae97c47 | 1533114559.480 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.327,0.04,"ASK"]
2018-08-01 09:09:35 | INFO | 3374 | 5b6178ae97c47 | 1533114575.960 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.3300000000000000",0.04,"ASK"]
2018-08-01 09:09:35 | INFO | 3374 | 5b6178ae97c47 | 1533114575.960 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.329,0.04,"ASK"]
2018-08-01 09:09:35 | INFO | 3374 | 5b6178ae97c47 | 1533114575.961 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.328,0.04,"ASK"]
2018-08-01 09:09:55 | INFO | 3374 | 5b6178ae97c47 | 1533114595.728 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.4170000000000000",0.04,"ASK"]
2018-08-01 09:09:55 | INFO | 3374 | 5b6178ae97c47 | 1533114595.729 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.416,0.04,"ASK"]
2018-08-01 09:09:55 | INFO | 3374 | 5b6178ae97c47 | 1533114595.731 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.41499999999996,0.04,"ASK"]
2018-08-01 09:10:10 | INFO | 3374 | 5b6178ae97c47 | 1533114610.837 | 开始根据真实数据进行模拟交易,假定挂单立即成交["426.0740000000000000",0.04,"ASK"]
2018-08-01 09:10:10 | INFO | 3374 | 5b6178ae97c47 | 1533114610.839 | 开始根据真实数据进行模拟交易,假定挂单立即成交[426.07300000000004,0.04,"ASK"]
2018-08-01 09:10:10 | INFO | 3374 | 5b6178ae97c47 | 1533114610.841 | 开始根据真实数据进行模拟交易,假定挂单立即成交[426.072,0.04,"ASK"]
2018-08-01 09:10:29 | INFO | 3374 | 5b6178ae97c47 | 1533114629.704 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.8210000000000000",0.04,"ASK"]
2018-08-01 09:10:29 | INFO | 3374 | 5b6178ae97c47 | 1533114629.706 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.82000000000005,0.04,"ASK"]
2018-08-01 09:10:29 | INFO | 3374 | 5b6178ae97c47 | 1533114629.708 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.819,0.04,"ASK"]
2018-08-01 09:10:46 | INFO | 3374 | 5b6178ae97c47 | 1533114646.953 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.7090000000000000",0.04,"ASK"]
2018-08-01 09:10:46 | INFO | 3374 | 5b6178ae97c47 | 1533114646.953 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.708,0.04,"ASK"]
2018-08-01 09:10:46 | INFO | 3374 | 5b6178ae97c47 | 1533114646.954 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.707,0.04,"ASK"]
2018-08-01 09:11:01 | INFO | 3374 | 5b6178ae97c47 | 1533114661.223 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.4830000000000000",0.04,"ASK"]
2018-08-01 09:11:01 | INFO | 3374 | 5b6178ae97c47 | 1533114661.224 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.482,0.04,"ASK"]
